Position,TeamName,Herkunft,FIX
1,S.H.I.E.L.D.,Bundesweit,0
2,SpVgg Rasenschach,Rethwisch,0
3,Blutgrätsche,Lübeck,1
4,Wadenbeisser,Lübeck,1
5,Die Leere Menge,Greifswald,0
6,Keiler,Oldenburg,0
7,Likedeeler,Rostock,0
8,Haralds Blauzähne,Breitenfelde,0
9,Nordische Sport Amatuere (NSA),Flensburg,0
10,Fischkoppkrieger,Kiel,0
11,Living Undeads,Hannover,0
12,Cranium ex Machina,Hamburg,0
13,Cranium ex Apparatus,Hamburg,0
14,Wütende Tintenfische,Kiel,0
15,Lokomotive Black Ninja,Göttingen,0
16,Potsdamer Piranhas,Potsdam,0
17,Mixerei,Lübeck,1
18,Schergen von Monasteria,Münster,0
19,Chimaera Brunsviga,Braunschweig,0
